lr,interval_0,interval_1,vl_va,vl_va_interval_0,vl_va_interval_1,loss,accuracy,epoch
0.1,0.1,0.01,3.1957587905348563,3.1957587905348563,0,3.2280595742673626,98.99937460913071,16
0.01,0.1,0.01,2.2120684187665884,3.1957587905348563,2.2120684187665884,2.2280928514064726,99.2808005003127,16
0.055,0.055,0.01,1.9877012007701242,1.9877012007701242,2.2120684187665884,2.0027310775245297,99.24953095684803,16
0.0325,0.055,0.0325,1.9566727412228373,1.9877012007701242,1.9566727412228373,1.9714679982453163,99.24953095684803,16
0.04375,0.04375,0.0325,1.478856142110566,1.478856142110566,1.9566727412228373,1.4862922509332464,99.49968730456536,16
0.038125,0.04375,0.038125,1.6974714543590885,1.478856142110566,1.6974714543590885,1.7060068230799388,99.49968730456536,16
0.0409375,0.04375,0.0409375,1.808880222048125,1.478856142110566,1.808880222048125,1.8191191667012276,99.43714821763602,11
0.04234375,0.04375,0.04234375,2.0287949719173346,1.478856142110566,2.0287949719173346,2.046069479719847,99.15572232645404,16
0.043046875,0.04375,0.043046875,1.3103105402087216,1.478856142110566,1.3103105402087216,1.3148331056126423,99.65603502188868,16
0.0433984375,0.0433984375,0.043046875,2.4117445209614656,2.4117445209614656,1.3103105402087216,2.43227971555811,99.15572232645404,16
0.04322265625,0.04322265625,0.043046875,1.955259584268899,1.955259584268899,1.3103105402087216,1.9688035738324743,99.31207004377737,16
0.043134765625,0.043134765625,0.043046875,1.5263746639159688,1.5263746639159688,1.3103105402087216,1.533567758467882,99.53095684803002,16
0.0430908203125,0.0430908203125,0.043046875,1.685778688078996,1.685778688078996,1.3103105402087216,1.6963877421260634,99.37460913070669,16
