name,epoch,train_acc,train_loss,val_acc,val_loss
Model-100Epo-3Feat-5Conv-20,2,79.3933708567855,54.82813683152199,80.5,50.99912762641907
Model-100Epo-3Feat-5Conv-20,4,86.80425265791119,37.7372111082077,88.125,36.040932416915894
Model-100Epo-3Feat-5Conv-20,6,91.65103189493433,25.148006319999695,91.0,25.87342643737793
Model-100Epo-3Feat-5Conv-20,8,93.37085678549093,19.646929312497377,92.375,21.99053829908371
Model-100Epo-3Feat-5Conv-20,10,94.9343339587242,16.65018243342638,93.625,19.590031027793884
Model-100Epo-3Feat-5Conv-20,12,95.87242026266416,13.617614695802331,95.25,17.16457250714302
Model-100Epo-3Feat-5Conv-20,14,95.90368980612882,12.0936881583184,94.25,16.764015585184097
Model-100Epo-3Feat-5Conv-20,16,96.21638524077548,11.257266227155924,94.75,16.142070777714252
Model-100Epo-3Feat-5Conv-20,18,96.59161976235147,10.502583814784884,95.125,16.5578351020813
Model-100Epo-3Feat-5Conv-20,20,96.77923702313946,10.206317046657205,95.75,15.378978490829468
Model-100Epo-3Feat-5Conv-20,22,97.09193245778611,10.124385996721685,95.5,15.207692049443722
Model-100Epo-3Feat-5Conv-20,24,97.15447154471545,9.263120383024216,95.875,14.325447678565979
Model-100Epo-3Feat-5Conv-20,26,97.24828017510944,8.806737936101854,95.75,15.857786506414413
Model-100Epo-3Feat-5Conv-20,28,97.02939337085678,8.812283167615533,96.125,14.948267370462418
Model-100Epo-3Feat-5Conv-20,30,97.4671669793621,8.317917693406343,96.125,13.780437529087067
Model-100Epo-3Feat-5Conv-20,32,97.6547842401501,8.044353776145726,93.625,19.69808639585972
Model-100Epo-3Feat-5Conv-20,34,97.81113195747342,7.8839291194453835,96.5,13.469010803848505
Model-100Epo-3Feat-5Conv-20,36,97.59224515322076,7.741460068151355,95.625,15.955448552966118
Model-100Epo-3Feat-5Conv-20,38,97.81113195747342,7.603241660632193,96.375,13.809064347296953
Model-100Epo-3Feat-5Conv-20,40,97.6547842401501,7.429725817870349,96.125,13.483613561838865
Model-100Epo-3Feat-5Conv-20,42,97.62351469668543,7.535796697251499,96.25,12.831017129123211
Model-100Epo-3Feat-5Conv-20,44,97.77986241400876,7.015462921117432,96.125,13.698308192193508
Model-100Epo-3Feat-5Conv-20,46,98.03001876172608,6.889528951607645,96.625,12.740746442228556
Model-100Epo-3Feat-5Conv-20,48,97.77986241400876,6.932620477164164,96.375,12.937887199223042
Model-100Epo-3Feat-5Conv-20,50,97.99874921826141,6.684928504750133,95.75,13.742264483124018
Model-100Epo-3Feat-5Conv-20,52,97.84240150093808,7.014470958150923,96.625,12.711232289671898
Model-100Epo-3Feat-5Conv-20,54,98.06128830519074,6.515392602887005,96.875,12.71390512213111
Model-100Epo-3Feat-5Conv-20,56,98.18636647904941,6.421980939107016,96.875,12.442108247429132
Model-100Epo-3Feat-5Conv-20,58,98.06128830519074,6.549494053469971,96.375,13.419536348432302
Model-100Epo-3Feat-5Conv-20,60,98.03001876172608,6.284537781961262,96.875,12.261639278382063
Model-100Epo-3Feat-5Conv-20,62,98.2801751094434,5.993111654883251,96.5,12.483362391591072
Model-100Epo-3Feat-5Conv-20,64,97.77986241400876,6.5632808287627995,96.5,13.447559587657452
Model-100Epo-3Feat-5Conv-20,66,98.2801751094434,5.954676833469421,96.875,12.066587749868631
Model-100Epo-3Feat-5Conv-20,68,98.06128830519074,6.181537425494753,96.75,12.523778561502695
Model-100Epo-3Feat-5Conv-20,70,98.4677923702314,5.8939344943501055,95.625,13.124522093683481
Model-100Epo-3Feat-5Conv-20,72,98.40525328330206,5.9194908598437905,97.0,12.406649254262447
Model-100Epo-3Feat-5Conv-20,74,98.34271419637274,5.742404616670683,96.75,12.004176661372185
Model-pretrained-dense-cropped-20,2,96.81050656660413,9.417405308806337,98.625,3.6531344035320217
Model-pretrained-dense-cropped-20,4,98.43652282676673,5.4318522460525855,98.75,4.087288569891825
Model-pretrained-dense-cropped-20,6,98.87429643527204,4.620638473730651,99.375,2.881445893435739
Model-pretrained-dense-cropped-20,8,99.37460913070669,2.2881018561383826,99.0,3.674773547514633
Model-pretrained-dense-cropped-20,10,99.81238273921201,0.6457727665529092,98.75,3.3997887645491573
Model-pretrained-dense-cropped-20,12,99.43714821763602,2.579359310624568,98.0,6.01021026512899
Model-pretrained-dense-cropped-20,14,99.34333958724203,2.191454970401537,99.0,2.9793406402604887
Model-pretrained-dense-cropped-20,16,99.65603502188868,1.7071693595935358,97.75,6.4992955157322285
Model-pretrained-dense-cropped-20,18,99.12445278298937,4.059753690929938,99.125,3.128475001969491
Model-pretrained-dense-cropped-20,20,99.2808005003127,3.4840653568608104,98.875,3.812812556512654
Model-pretrained-dense-cropped-20,22,99.74984365228268,1.0310598993455642,98.75,4.24722656384256
Model-pretrained-dense-cropped-20,24,99.78111319574734,0.8900373055876116,99.0,3.5381504054457764
Model-pretrained-dense-cropped-20,26,99.37460913070669,2.530341756406415,98.375,4.164574970811373
Model-pretrained-dense-cropped-20,28,99.56222639149469,1.497821346272758,98.75,4.166567382053472
Model-pretrained-dense-cropped-20,30,99.62476547842401,1.897656132150587,98.75,4.725453744904371
Model-pretrained-dense-cropped-20,32,99.81238273921201,0.7575423787620821,98.25,6.959528611921996
Model-pretrained-dense-cropped-20,34,99.87492182614133,0.712004747237188,98.75,4.326522845549334
Model-pretrained-dense-cropped-20,36,99.46841776110068,2.0439665124536077,98.625,5.026154181367019
Model-pretrained-dense-cropped-20,38,99.62476547842401,1.140545762013062,99.0,4.090237123895349
