id,latitude,longitude,std_bright,mean_std
1882032553,53.8749485,13.4296052,24.554287782872002,0.34131372549019606
1882032679,53.8718813,13.4373203,10.853409065424328,0.2882468281430219
1882032682,53.8741136,13.4341327,18.390850732610385,0.5966118800461361
1882033572,53.8842455,13.4353129,8.810145095838436,0.2835524798154556
1882033736,53.8816969,13.4306244,23.2716583249184,0.2632324929971989
1882034129,53.8799831,13.4348837,11.641985727155081,0.35817927170868347
1882034130,53.8781679,13.4306459,13.025743559483022,0.38141868512110727
1882034192,53.8771623,13.4380058,9.825056971933027,0.44894463667820067
1882034801,53.8741199,13.4436921,8.084720310288743,0.1900482063111821
1882034851,53.8811151,13.4442393,11.383710811826685,0.24025374855824685
1882034884,53.8837586,13.4411816,9.636146574295713,0.208655462184874
1887331368,53.7745548,13.6483927,9.63936393882532,0.26133794694348333
2661408229,53.4177164,14.0538918,12.509810599601773,0.26554901960784316
2661408240,53.4197897,14.0591818,10.271285551226102,0.16793277310924368
2661408255,53.4206574,14.0524202,11.62280747410961,0.22412341407151096
2661408280,53.4228719,14.0597338,9.77577307862321,0.2533737024221453
2661408317,53.4257655,14.0579614,11.670347602795841,0.19498713512554341
2661408329,53.426563,14.0523354,8.088077451498037,0.3846856978085352
2661408404,53.4330129,14.0467509,10.845875522374918,0.4471597462514418
2661676318,53.3298902,14.3983298,9.577493252343816,0.2382179930795848
2663033367,53.4311124,14.0433246,9.37249034587465,0.32016246498599443
2663033368,53.431012,14.0349339,8.41860634754832,0.35152380952380957
2663033374,53.4342006,14.043118,10.090210963056098,0.31480680507497116
2663033375,53.4354931,14.021879,9.452123152637316,0.255375350140056
2663033378,53.4365659,14.0348012,8.22672708262101,0.3868800461361015
2663033379,53.4377233,14.042935,7.6943746695622,0.27012110726643596
3355791328,53.8717782,13.4418217,11.257632938099741,0.20891003460207613
